end_index,y,x,dist_between
133,39.920999,-75.087755,42.873400447
134,39.9209356,-75.087564,17.781768095
135,39.9208155,-75.0872033,33.596877379
136,39.920674,-75.086775,39.844759697
137,39.920389,-75.085876,83.117518773
138,39.920264,-75.085484,36.273535021
139,39.919963,-75.084506,90.04443223
140,39.919911,-75.084338,15.479954946
141,39.919602,-75.083364,90.062003751
142,39.9192003,-75.0821013,116.804510348
143,39.919163,-75.081984,10.850026831
144,39.9191347,-75.0818952,8.216492567
145,39.918847,-75.080991,83.644404525
146,39.918528,-75.079986,92.936679587
147,39.918326,-75.079352,58.661121448
148,39.918234,-75.079062,26.815580131
149,39.918107,-75.078662,36.99143436
150,39.9177665,-75.077591,99.064227941
151,39.917721,-75.077448,13.228638346
152,39.9176808,-75.0773214,11.708047659
153,39.91708,-75.075431,174.848553867
154,39.916725,-75.074314,103.315131441
155,39.916628,-75.074009,28.213374261
156,39.916323,-75.07304,89.501570936
157,39.9156598,-75.0710191,187.820773982
158,39.9155832,-75.070791,21.276198732
159,39.9146023,-75.0676599,289.014236695
160,39.9136717,-75.0647989,265.545244747
161,39.9127069,-75.06165,289.765767797
162,39.9114814,-75.0577675,358.771475779
163,39.9112235,-75.0568692,81.972658603
164,39.9108683,-75.0558123,98.600820671
165,39.910568,-75.0548449,89.184942065
166,39.909699,-75.052244,242.421023225
167,39.909553,-75.051862,36.464899852
168,39.9092746,-75.0511187,70.67547519
169,39.909214,-75.050978,13.784566719
170,39.9091622,-75.0508607,11.561998537
171,39.908881,-75.050143,68.854378137
172,39.908833,-75.050025,11.410945036
173,39.908578,-75.049438,57.627887919
174,39.908265,-75.048761,67.519655813
175,39.907949,-75.04812,65.078986904
176,39.907658,-75.047566,57.341574103
177,39.907599,-75.047455,11.532690476
178,39.907275,-75.046875,61.268782245
179,39.906952,-75.046329,58.872597908
180,39.906477,-75.045552,84.829285129
181,39.906383,-75.045402,16.536415295
182,39.906335,-75.045328,8.27315161
183,39.906328,-75.045315,1.356399526
184,39.906233,-75.0451515,17.51371411
185,39.905584,-75.044186,109.585475408
186,39.905083,-75.043468,82.849560083
187,39.904707,-75.04295,60.868704457
188,39.904385,-75.042508,52.027182171
189,39.904313,-75.042407,11.768778755
190,39.904036,-75.042019,45.241444466
191,39.903415,-75.041291,92.896951538
192,39.903189,-75.041026,33.811415019
193,39.9029,-75.040681,43.589766822
194,39.9025356,-75.0402986,52.022957674
195,39.9022516,-75.0400315,38.936704358
